date,SPY,TLT,GLD,BTC-USD
2023-04-21,396.662506,92.113968,184.250000,27276.910156
2023-04-24,397.076324,93.005157,184.809998,27525.339844
2023-04-25,390.773224,94.372726,185.750000,28307.597656
2023-04-26,389.117981,93.366859,184.740005,28422.701172
2023-04-27,396.864624,92.440453,184.750000,29473.787109
2023-04-28,400.251892,93.931572,184.800003,29340.261719
2023-05-01,399.847717,91.223083,183.970001,28091.568359
2023-05-02,395.353821,93.496338,187.520004,28680.537109
2023-05-03,392.640076,94.018257,189.110001,29006.308594
2023-05-04,389.859009,93.089485,190.440002,28847.710938
2023-05-05,397.076324,92.779884,187.460007,29534.384766
2023-05-08,397.182159,91.479614,187.690002,27694.273438
2023-05-09,395.440399,91.152321,189.020004,27658.775391
2023-05-10,397.287994,92.036880,188.750000,27621.755859
2023-05-11,396.595123,93.009880,187.130005,27000.789062
2023-05-12,396.075470,92.231461,186.809998,26804.990234
2023-05-15,397.442017,91.276192,187.210007,27192.693359
2023-05-16,394.786011,91.001953,184.869995,27036.650391
2023-05-17,399.578278,90.736580,184.229996,27398.802734
2023-05-18,403.427582,90.064339,181.839996,26832.208984
2023-05-19,402.840515,89.427475,183.639999,26890.128906
2023-05-22,403.004150,89.109024,183.210007,26851.277344
2023-05-23,398.481262,89.365547,183.429993,27225.726562
2023-05-24,395.594360,88.923294,181.949997,26334.818359
2023-05-25,399.020111,88.702148,180.199997,26476.207031
2023-05-26,404.187714,89.418602,180.919998,26719.291016
2023-05-30,404.341736,90.312019,182.039993,27702.349609
2023-05-31,402.099548,91.099274,182.320007,27219.658203
2023-06-01,405.919861,91.456657,183.759995,26819.972656
2023-06-02,411.790009,90.454491,181.050003,27249.589844
2023-06-05,411.000916,90.285980,182.139999,25760.097656
2023-06-06,411.895844,90.818108,182.339996,27238.783203
2023-06-07,410.471619,89.470039,180.149994,26345.998047
2023-06-08,412.954407,90.516579,182.529999,26508.216797
2023-06-09,413.695312,90.392410,182.039993,26480.375000
2023-06-12,417.448303,90.658493,181.880005,25902.500000
2023-06-13,420.200500,89.762703,180.539993,25918.728516
2023-06-14,420.700897,90.481094,180.639999,25124.675781
2023-06-15,425.916595,91.350250,181.910004,25576.394531
2023-06-16,424.465912,90.995476,181.630005,26327.462891
